id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13446877,JH246628,2024-05-01 16:44:00,082XX S GREEN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,613,6,17,71,14,1172071.0,1850312.0,2024,2024-12-21T15:40:46.000,41.744703128,-87.645085294,"{'latitude': '41.744703128', 'longitude': '-87.645085294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13448101,JH248169,2024-05-01 16:50:00,002XX E 37TH ST,0560,ASSAULT,SIMPLE,STREET,False,False,212,2,3,35,08A,1178665.0,1880515.0,2024,2024-12-21T15:40:46.000,41.827435856,-87.620005983,"{'latitude': '41.827435856', 'longitude': '-87.620005983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447902,JH247817,2024-05-01 16:53:00,062XX S MAJOR AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,812,8,13,64,05,1139478.0,1862636.0,2024,2024-12-21T15:40:46.000,41.779175787,-87.764213488,"{'latitude': '41.779175787', 'longitude': '-87.764213488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446632,JH246441,2024-05-01 16:54:00,076XX N BOSWORTH AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,2422,24,49,1,08A,1164635.0,1950601.0,2024,2024-12-21T15:40:46.000,42.020064236,-87.669489304,"{'latitude': '42.020064236', 'longitude': '-87.669489304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447418,JH247041,2024-05-01 17:00:00,020XX W FULTON ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1223,12,27,28,05,1162823.0,1902008.0,2024,2024-12-21T15:40:46.000,41.886760977,-87.677525681,"{'latitude': '41.886760977', 'longitude': '-87.677525681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446646,JH246577,2024-05-01 17:00:00,003XX S HALSTED ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE,True,False,1232,12,34,28,18,1171098.0,1898739.0,2024,2024-12-21T15:40:46.000,41.877613062,-87.647233851,"{'latitude': '41.877613062', 'longitude': '-87.647233851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447628,JH247634,2024-05-01 17:00:00,075XX S STONY ISLAND AVE,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,False,False,411,4,8,43,06,1188234.0,1855158.0,2024,2024-12-21T15:40:46.000,41.757630995,-87.585708249,"{'latitude': '41.757630995', 'longitude': '-87.585708249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446832,JH246458,2024-05-01 17:00:00,025XX E 83RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,423,4,7,46,08B,1194723.0,1850435.0,2024,2024-12-21T15:40:46.000,41.744513504,-87.562082512,"{'latitude': '41.744513504', 'longitude': '-87.562082512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447301,JH247270,2024-05-01 17:00:00,043XX S CHAMPLAIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,False,True,221,2,4,38,08B,1181318.0,1876431.0,2024,2024-12-21T15:40:46.000,41.816168195,-87.610398685,"{'latitude': '41.816168195', 'longitude': '-87.610398685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447600,JH247530,2024-05-01 17:00:00,007XX N LATROBE AVE,1200,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,STREET,False,False,1524,15,37,25,13,1141223.0,1904471.0,2024,2024-12-21T15:40:46.000,41.893945338,-87.75678656,"{'latitude': '41.893945338', 'longitude': '-87.75678656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446515,JH246444,2024-05-01 17:00:00,010XX E 73RD ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,324,3,5,69,26,1184627.0,1856830.0,2024,2024-12-21T15:40:46.000,41.762304384,-87.598874951,"{'latitude': '41.762304384', 'longitude': '-87.598874951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
